"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-01",,,,,"0.28","0.0","0.0",,"49","41","43",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-02",,,,,"0.00","0.0","0.0",,"51","34","35",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-03",,,,,"0.03","0.0","0.0",,"53","35","46",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-04",,,,,"0.35","0.0","0.0",,"52","44","47",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-05",,,,,"0.03","0.0","0.0",,"65","42","49",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-06",,,,,"0.29","0.0","0.0",,"52","42","42",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-07",,,,,"0.00","0.0","0.0",,"47","31","37",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-08",,,,,"0.00","0.0","0.0",,"43","29","30",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-09",,,,,"0.00","0.0","0.0",,"40","29","32",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-10",,,,,"0.00","0.0","0.0",,"42","31","37",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-11",,,,,"0.00","0.0","0.0",,"39","33","33",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-12",,,,,"0.00","0.0","0.0",,"38","32","35",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-13",,,,,"0.32","0.0","0.0",,"55","35","54",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-14",,,,,"0.12","0.0","0.0",,"54","32","32",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-15",,,,,"0.00","0.0","0.0",,"33","27","28",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-16",,,,,"0.00","0.0","0.0",,"43","25","26",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-17",,,,,"0.00","0.0","0.0",,"46","25","31",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-18",,,,,"0.00","0.0","0.0",,"46","31","46",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-19",,,,,"0.00","0.0","0.0",,"51","36","39",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-20",,,,,"1.12","0.0","0.0",,"40","36","40",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-21",,,,,"0.00","0.0","0.0",,"46","35","36",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-22",,,,,"0.00","0.0","0.0",,"38","33","34",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-23",,,,,"0.69",,,,"40","34","38",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-24",,,,,"0.22",,,,"38","34","35",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-25",,,,,"0.00","0.0","0.0",,"44","28","30",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-26",,,,,"1.94",,,,"50","30","42",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-27",,,,,"0.00","0.0","0.0",,"42","27","28",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-28",,,,,"0.00","0.0","0.0",,"39","26","31",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-29",,,,,"0.00","0.0","0.0",,"49","31","31",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-30",,,,,"0.00","0.0","0.0",,"48","31","34",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-01-31",,,,,"0.00","0.0","0.0",,"53","32","34",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-01",,,,,"0.01","0.0","0.0",,"37","24","26",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-02",,,,,"0.00","0.0","0.0",,"36","20","20",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-03",,,,,"0.00","0.0","0.0",,"37","19","24",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-04",,,,,"0.00","0.0","0.0",,"24","0","2",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-05",,,,,"0.00","0.0","0.0",,"22","2","22",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-06",,,,,"0.00","0.0","0.0",,"46","22","31",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-07",,,,,"0.00","0.0","0.0",,"50","25","25",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-08",,,,,"0.02","0.0","0.0",,"40","24","33",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-09",,,,,"0.00","0.0","0.0",,"51","27","30",,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2023-02-10",,,,,"0.00","0.0","0.0",,"50","30","42",,,,,,,,,,,,,
